dataset,model,EPE,Fl-all_%,AngularError_deg,FPS_median,N
sintel,RAFT,4.1054800476716915,22.513300648757912,15.980948116468346,18.421278240399143,23
sintel,SPyNet,10.906097487263057,55.737694221679114,73.15270797066067,25.045704799780253,23
sintel,PWCNet,2.498762531125027,13.938141173433083,11.770483835883763,11.918548281682456,23
sintel,FlowNet2,2.800132067307182,12.875394208686757,12.338005833003832,5.049594159557536,23
chairs,RAFT,4.533869195530812,19.362721760969222,16.597146829565364,28.396204807674216,300
chairs,SPyNet,11.488168056209883,61.87432183128251,69.3239792696635,26.256985606317542,300
chairs,PWCNet,2.247520031929016,11.566021389372596,11.64555955906709,21.41540842051649,300
chairs,FlowNet2,1.9462090349694092,9.933063083174304,9.737847726444404,10.453641206217949,300
kitti15,RAFT,24.62049055695534,48.83501471347629,14.924424785375596,14.61555666764745,20
kitti15,SPyNet,42.159713697433475,90.46964572716665,92.24613742828369,19.824676586458196,20
kitti15,PWCNet,14.496290645003318,39.87173993805597,6.04327783882618,7.455566116578355,20
kitti15,FlowNet2,13.348838242888451,36.48813681670371,3.4258463859558104,4.741301127431122,20
