model,dataset,EPE,Fl-all_%,AngularError_deg,FPS_median,N,video_side,csv_detail
FlowNet2,FlyingChairs (fast 2000),1.946209047238032,9.933066474016316,9.737847749690214,10.223551464378058,300,,
PWCNet,FlyingChairs (fast 2000),2.2475200623273848,11.566017998530581,11.64555921137333,21.30743292706169,300,,
RAFT,FlyingChairs (fast 2000),4.533869195530812,19.362721760969222,16.597146829565364,27.545547330385467,300,,
SPyNet,FlyingChairs (fast 2000),11.532960211435954,61.80804104243736,70.92183943430582,25.87670906740272,300,,
FlowNet2,"KITTI15 (flow_occ, full)",28.03704122661315,92.02257155826538,42.044284266294895,4.61708386067777,194,,
PWCNet,"KITTI15 (flow_occ, full)",28.236135286154205,92.36874376195522,42.35992420825762,11.124841265000402,194,,
RAFT,"KITTI15 (flow_occ, full)",28.46972467727268,92.40441978854408,45.329116695934964,16.2740863621914,194,,
SPyNet,"KITTI15 (flow_occ, full)",34.168741202846014,94.76041600556394,95.9619683137874,20.17365209085645,194,,
PWCNet,Sintel (final),2.4987625324207805,13.938160650148278,11.770483949910039,10.770366946562925,23,,
FlowNet2,Sintel (final),2.8001320083504138,12.875403947044356,12.338006330573041,4.940700576844471,23,,
RAFT,Sintel (final),4.1054800476716915,22.513300648757912,15.980948116468346,18.329505130491025,23,,
SPyNet,Sintel (final),10.761723243671915,52.90342314943774,64.81302112081777,20.11405771942108,23,,
SPyNet,VKITTI2 (fast 400),11.497458880543709,73.36700844445234,72.45361578941345,22.58578805283564,400,,
RAFT,VKITTI2 (fast 400),22.357652827501298,90.60145855054932,44.75235846042633,16.102675903513084,400,,
FlowNet2,VKITTI2 (fast 400),23.263097013235093,89.97595795093989,40.72787845134735,4.600102002067819,400,,
PWCNet,VKITTI2 (fast 400),23.896203339099884,90.43330893846682,41.23974509716034,10.724857861462649,400,,
